"Lot Number";"Accession Number";"Accession Name";"itk";"Trial Name";"Trial Site";"X(m)";"Y(m)";"Campaign";"GDD";"rdt: Grain yield at 0% humidity ";"Date [rdt]";"r: Yield";"Date [r]";"prec: Earliness at earing";"Date [prec]";"ps: Test weight";"Date [ps]";"ht: Height";"Date [ht]";"prot: Grain protein concentration";"Date [prot]";"rb: Susceptibility to leaf rust";"Date [rb]";"sept: Septoria score";"Date [sept]";"vr: Lodging score";"Date [vr]";"rj: Yellow rust score";"Date [rj]";"oid: Powdey mildew score";"Date [oid]";"pmg: Thousand grain weight at 0% humidity";"Date [pmg]"
"RE13084";"39436";"RE13084";"traite";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"82.3";"";"92.6";"";"133";"";"79";"";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"Granamax";"37231";"GRANAMAX";"traite";"BTH_Orgeval_2015_SetA2";"Orgeval";"";"";"2015";"";"88.6";"";"105.1";"";"144";"";"72.5";"";"90";"";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO14041";"AO14041";"AO14041";"traite";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"114.9";"";"99.2";"";"135";"";"79.3";"";"82";"";"10.3";"";"";"";"";"";"1";"";"";"";"";"";"";""
"EM13249";"EM13249";"EM13249";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"97.6";"";"107";"";"139";"";"77.1";"";"92";"";"";"";"1";"";"3";"";"1";"";"2";"";"1";"";"";""
"AO15026";"AO15026";"AO15026";"faible intrant";"BTH_Lusignan_2015_SetB1";"Lusignan";"";"";"2015";"";"60.83";"";"86.3";"";"135";"";"";"";"89";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";""
"CF14009";"CF14009";"CF14009";"non traite fongicides";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"73.8";"";"96.9";"";"";"";"";"";"";"";"";"";"1";"";"2";"";"";"";"1";"";"";"";"";""
"EM14142";"EM14142";"EM14142";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"109.3";"";"104.1";"";"128";"";"83.5";"";"100";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"faible intrant";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"101.6";"";"104.8";"";"138";"";"78.9";"";"";"";"11";"";"1";"";"5.5";"";"3.5";"";"2";"";"";"";"";""
"DI15011";"DI15011";"DI15011";"faible intrant";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"92.1";"";"96.2";"";"138";"";"";"";"90";"";"10.3";"";"2";"";"3.8";"";"";"";"2";"";"";"";"";""
"RE14111";"RE14111";"RE14111";"traite";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"123.2";"";"100.7";"";"147";"";"";"";"104";"";"10.1";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM14102";"EM14102";"EM14102";"faible intrant";"BTH_Lusignan_2015_SetB2";"Lusignan";"";"";"2015";"";"81.3";"";"109.2";"";"132";"";"82.4";"";"93";"";"";"";"1";"";"1";"";"1";"";"";"";"";"";"";""
"EM14073";"EM14073";"EM14073";"";"BTH_Rennes_2015_SetB2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";"";""
"EM14248";"EM14248";"EM14248";"traite";"BTH_Clermont-Ferrand_2015_SetB3";"Clermont-Ferrand";"";"";"2015";"";"99";"";"104.3";"";"133";"";"78";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM14193";"EM14193";"EM14193";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"99.8";"";"104";"";"142";"";"";"";"87";"";"10.4";"";"1";"";"3";"";"";"";"2.8";"";"";"";"";""
"AO15012";"AO15012";"AO15012";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"123.8";"";"103.3";"";"133";"";"";"";"84";"";"11.1";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15017";"AO15017";"AO15017";"faible intrant";"BTH_Lusignan_2015_SetB3";"Lusignan";"";"";"2015";"";"71.4";"";"94.2";"";"136";"";"76.1";"";"93";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";""
"AO15008";"AO15008";"AO15008";"";"BTH_Rennes_2015_SetB3";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";""
"EM11537";"37829";"EM11537";"traite";"BTH_Clermont-Ferrand_2015_SetA1";"Clermont-Ferrand";"";"";"2015";"";"99.8";"";"";"";"137";"";"78.5";"";"";"";"9.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO13042";"AO13042";"AO13042";"traite";"BTH_Clermont-Ferrand_2015_SetA1";"Clermont-Ferrand";"";"";"2015";"";"104.8";"";"";"";"135";"";"75";"";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"APACHE";"13481";"APACHE";"faible intrant";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"92.4";"";"92.7";"";"138";"";"78.8";"";"";"";"11";"";"6";"";"6";"";"3";"";"3.5";"";"";"";"";""
"CROUSTY";"13450";"CROUSTY";"faible intrant";"BTH_Estrées-Mons_2015_SetA1";"Estrées-Mons";"";"";"2015";"";"74.7";"";"74.9";"";"144";"";"79.3";"";"";"";"10.9";"";"NA";"";"NA";"";"2.5";"";"9";"";"";"";"";""
"DI11010";"DI11010";"DI11010";"faible intrant";"BTH_Lusignan_2015_SetA1";"Lusignan";"";"";"2015";"";"79.9";"";"118.6";"";"134";"";"82.1";"";"104";"";"9.2";"";"1";"";"1";"";"1";"";"2";"";"";"";"";""
"RE13014";"39435";"RE13014";"faible intrant";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"98.1";"";"98.8";"";"142";"";"81.8";"";"";"";"11.2";"";"3.5";"";"4.5";"";"6";"";"4";"";"";"";"";""
"AO14020";"AO14020";"AO14020";"non traite fongicides";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"95.1";"";"94.1";"";"138";"";"";"";"89";"";"";"";"3.2";"";"4.5";"";"";"";"1.5";"";"";"";"";""
"CF13187";"CF13187";"CF13187";"traite";"BTH_Orgeval_2015_SetA2";"Orgeval";"";"";"2015";"";"76";"";"90.2";"";"146";"";"69.5";"";"90";"";"10.5";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bermude";"TX9";"Bermude";"traite";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"108.1";"";"93.3";"";"135";"";"83";"";"98";"";"10.7";"";"";"";"";"";"1";"";"";"";"";"";"";""
"AO14017";"AO14017";"AO14017";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"93";"";"102";"";"138";"";"80.9";"";"108";"";"";"";"2.5";"";"4.5";"";"7";"";"1";"";"1";"";"";""
"AO14020";"AO14020";"AO14020";"";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";""
"RE14022";"RE14022";"RE14022";"faible intrant";"BTH_Lusignan_2015_SetB1";"Lusignan";"";"";"2015";"";"61.97";"";"87.9";"";"128";"";"";"";"90";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";""
"CF14302";"CF14302";"CF14302";"traite";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"111.7";"";"96.4";"";"143";"";"82.4";"";"";"";"11.8";"";"";"";"";"";"6";"";"";"";"";"";"";""
"Gotik";"37251";"GOTIK";"";"BTH_Rennes_2015_SetB2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"CF14254";"CF14254";"CF14254";"";"BTH_Rennes_2015_SetB2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";""
"AO15011";"AO15011";"AO15011";"traite";"BTH_Clermont-Ferrand_2015_SetB3";"Clermont-Ferrand";"";"";"2015";"";"99.2";"";"104.5";"";"133";"";"83.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15023";"AO15023";"AO15023";"traite";"BTH_Estrées-Mons_2015_SetB3";"Estrées-Mons";"";"";"2015";"";"125.7";"";"104.3";"";"146";"";"78";"";"";"";"10.7";"";"";"";"";"";"4";"";"";"";"";"";"";""
"DI14009";"DI14009";"DI14009";"";"BTH_Le_Moulon_2015_SetB3";"Le Moulon";"";"";"2015";"";"115.3";"";"96.2";"";"138";"";"";"";"92";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15007";"AO15007";"AO15007";"faible intrant";"BTH_Rennes_2015_SetB3";"Rennes";"";"";"2015";"";"94.4";"";"110.7";"";"130";"";"78.5";"";"91";"";"";"";"1.5";"";"4";"";"1";"";"3";"";"";"";"";""
"AO15013";"AO15013";"AO15013";"faible intrant";"BTH_Rennes_2015_SetB3";"Rennes";"";"";"2015";"";"90.9";"";"106.6";"";"136";"";"82";"";"94";"";"";"";"1";"";"5.5";"";"1";"";"2";"";"";"";"";""
"AO13026";"AO13026";"AO13026";"traite";"BTH_Champagne-céréales_2015_SetA1";"Champagne-céréales";"";"";"2015";"";"88.7";"";"94.9";"";"141";"";"81.8";"";"";"";"10.5";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO13029";"AO13029";"AO13029";"traite";"BTH_Champagne-céréales_2015_SetA1";"Champagne-céréales";"";"";"2015";"";"90.3";"";"96.6";"";"143";"";"80.5";"";"";"";"10.77";"";"";"";"";"";"";"";"";"";"";"";"";""
"DI13003";"39308";"DI13003";"traite";"BTH_Champagne-céréales_2015_SetA1";"Champagne-céréales";"";"";"2015";"";"87.2";"";"93.3";"";"145";"";"80.3";"";"";"";"11.4";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO13022";"AO13022";"AO13022";"traite";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"104.4";"";"109.9";"";"134";"";"82.3";"";"91";"";"10.6";"";"";"";"";"";"1";"";"";"";"";"";"";""
"RE12080";"RE12080";"RE12080";"faible intrant";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"107.4";"";"109.9";"";"138";"";"";"";"95";"";"10.3";"";"2.5";"";"2.2";"";"";"";"2";"";"";"";"";""
"RE11058";"37839";"RE11058";"faible intrant";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"106.2";"";"108.7";"";"138";"";"";"";"95";"";"10";"";"3";"";"3";"";"";"";"2.2";"";"";"";"";""
"AO13026";"AO13026";"AO13026";"traite";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"124.8";"";"104.6";"";"135";"";"84.7";"";"105";"";"11.4";"";"";"";"";"";"1";"";"";"";"";"";"50.3";""
"Bermude";"TX9";"Bermude";"non traite fongicides";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"82";"";"87.4";"";"135";"";"79.9";"";"92";"";"11.7";"";"2";"";"8.5";"";"1";"";"1.5";"";"1";"";"39.8";""
"RUBISKO";"36680";"RUBISKO";"non traite fongicides";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"98.1";"";"104.6";"";"132";"";"80";"";"88";"";"11.2";"";"1.5";"";"5.5";"";"1";"";"1.5";"";"1";"";"47";""
"AO14028";"AO14028";"AO14028";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"81.2";"";"104.6";"";"135";"";"77";"";"";"";"8.8";"";"4";"";"";"";"";"";"1";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"traite";"BTH_Lusignan_2015_SetA2";"Lusignan";"";"";"2015";"";"95.9";"";"103.5";"";"131";"";"76.2";"";"90";"";"11.5";"";"";"";"";"";"3.5";"";"";"";"";"";"";""
"EM13147";"EM13147";"EM13147";"";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";""
"RE14088";"RE14088";"RE14088";"faible intrant";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"92.1";"";"104.7";"";"128";"";"80.8";"";"91";"";"";"";"1.5";"";"3";"";"1";"";"2";"";"";"";"";""
"AO15020";"AO15020";"AO15020";"traite";"BTH_Dijon_2015_SetB3";"Dijon";"";"";"2015";"";"106.6";"";"100.5";"";"134";"";"77.5";"";"87";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"AO15019";"AO15019";"AO15019";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"73";"";"92.2";"";"148";"";"74.2";"";"85";"";"10.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM14248";"EM14248";"EM14248";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"82.3";"";"104.1";"";"146";"";"66.8";"";"82";"";"10.1";"";"";"";"";"";"";"";"";"";"";"";"";""
"CELLULE";"36658";"CELLULE";"faible intrant";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"77.9";"";"103.9";"";"132";"";"83.2";"";"83";"";"";"";"5.5";"";"3";"";"";"";"1";"";"";"";"";""
"DI14001";"DI14001";"DI14001";"faible intrant";"BTH_Dijon_2015_SetA1";"Dijon";"";"";"2015";"";"84.1";"";"112.1";"";"134";"";"74.7";"";"87";"";"";"";"4";"";"1.5";"";"";"";"2.5";"";"";"";"";""
"DI13002-2";"39307";"DI13002-2";"traite";"BTH_Epi-centre_2015_SetA1";"Epi-centre";"";"";"2015";"";"92";"";"88.7";"";"133";"";"79.5";"";"95";"";"12.3";"";"";"";"";"";"";"";"";"";"";"";"41.2";""
"CF12202";"39303";"CF12202";"faible intrant";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"99.1";"";"101.4";"";"136";"";"";"";"92";"";"9.7";"";"4.5";"";"2.5";"";"";"";"1.5";"";"";"";"";""
"EM12231";"39323";"EM12231";"traite";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"128.7";"";"101.4";"";"138";"";"";"";"92";"";"10.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"Galibier";"3250";"GALIBIER";"traite";"BTH_Lusignan_2015_SetA1";"Lusignan";"";"";"2015";"";"43.1";"";"45.9";"";"118";"";"81";"";"96";"";"12";"";"";"";"";"";"9";"";"";"";"";"";"";""
"AO13047";"39291";"AO13047";"non traite fongicides";"BTH_Orgeval_2015_SetA1";"Orgeval";"";"";"2015";"";"75.2";"";"100.9";"";"144";"";"70.7";"";"90";"";"";"";"2";"";"2.5";"";"";"";"1";"";"";"";"";""
"RE13014";"39435";"RE13014";"faible intrant";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"71.8";"";"92.6";"";"135";"";"78";"";"";"";"9.4";"";"3";"";"";"";"";"";"1";"";"";"";"";""
"AO14028";"AO14028";"AO14028";"traite";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"90.8";"";"102.1";"";"134";"";"81";"";"";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM13249";"EM13249";"EM13249";"traite";"BTH_Clermont-Ferrand_2015_SetA2";"Clermont-Ferrand";"";"";"2015";"";"93.9";"";"105.7";"";"134";"";"79";"";"";"";"10.1";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE13004";"39433";"RE13004";"faible intrant";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"96";"";"113.4";"";"134";"";"81.4";"";"106";"";"";"";"2";"";"3";"";"";"";"1.5";"";"";"";"";""
"CF13080";"CF13080";"CF13080";"faible intrant";"BTH_Estrées-Mons_2015_SetA2";"Estrées-Mons";"";"";"2015";"";"97.4";"";"98.1";"";"138";"";"79.3";"";"";"";"11.1";"";"2";"";"5";"";"2";"";"1.5";"";"";"";"";""
"CF13085";"CF13085";"CF13085";"traite";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"131.3";"";"106.8";"";"134";"";"";"";"102";"";"10.9";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF13158";"CF13158";"CF13158";"faible intrant";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"94.7";"";"98.4";"";"138";"";"";"";"91";"";"9.4";"";"2.5";"";"2";"";"";"";"1";"";"";"";"";""
"AO14017";"AO14017";"AO14017";"faible intrant";"BTH_Le_Moulon_2015_SetA2";"Le Moulon";"";"";"2015";"";"101";"";"105";"";"138";"";"";"";"101";"";"10.5";"";"1.5";"";"2.5";"";"";"";"1.5";"";"";"";"";""
"CF13057";"CF13057";"CF13057";"non traite fongicides";"BTH_Orgeval_2015_SetA2";"Orgeval";"";"";"2015";"";"73.4";"";"98.2";"";"";"";"66.2";"";"88";"";"";"";"4";"";"2.5";"";"";"";"1";"";"";"";"";""
"AO14026";"AO14026";"AO14026";"non traite fongicides";"BTH_Orgeval_2015_SetA2";"Orgeval";"";"";"2015";"";"70.8";"";"94.7";"";"";"";"62.9";"";"92";"";"";"";"1.5";"";"2";"";"";"";"1";"";"";"";"";""
"AO14017";"AO14017";"AO14017";"";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"";""
"RE13093";"RE13093";"RE13093";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"109.3";"";"119.8";"";"136";"";"81.2";"";"110";"";"";"";"1.5";"";"3.5";"";"1";"";"2";"";"2";"";"";""
"AO14035";"AO14035";"AO14035";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"98.3";"";"107.8";"";"135";"";"79.2";"";"112";"";"";"";"2.5";"";"3";"";"4.5";"";"2.5";"";"2";"";"";""
"AO14026";"AO14026";"AO14026";"non traite fongicides";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"103.7";"";"113.7";"";"142";"";"80.6";"";"108";"";"";"";"1";"";"4";"";"1";"";"1";"";"1";"";"";""
"RE14070";"RE14070";"RE14070";"traite";"BTH_Clermont-Ferrand_2015_SetB1";"Clermont-Ferrand";"";"";"2015";"";"84";"";"97.2";"";"132";"";"80.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14022";"RE14022";"RE14022";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"99.5";"";"112.4";"";"132";"";"80";"";"90";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14128";"CF14128";"CF14128";"faible intrant";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"103";"";"105.5";"";"142";"";"";"";"112";"";"10.1";"";"3";"";"2.5";"";"";"";"1";"";"";"";"";""
"AREZZO";"32759";"AREZZO";"traite";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"116.5";"";"94.3";"";"134";"";"";"";"88";"";"10.5";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM13013";"EM13013";"EM13013";"faible intrant";"BTH_Lusignan_2015_SetB1";"Lusignan";"";"";"2015";"";"63.39";"";"90";"";"134";"";"";"";"100";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";""
"RE14007";"RE14007";"RE14007";"non traite fongicides";"BTH_Orgeval_2015_SetB1";"Orgeval";"";"";"2015";"";"76.7";"";"100.8";"";"";"";"";"";"";"";"";"";"2";"";"2";"";"";"";"1";"";"";"";"";""
"RE14022";"RE14022";"RE14022";"";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"RE14108";"RE14108";"RE14108";"traite";"BTH_Clermont-Ferrand_2015_SetB2";"Clermont-Ferrand";"";"";"2015";"";"83.9";"";"94.4";"";"137";"";"77.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14106";"RE14106";"RE14106";"traite";"BTH_Dijon_2015_SetB2";"Dijon";"";"";"2015";"";"90.9";"";"86.5";"";"139";"";"81";"";"118";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"RE14115";"RE14115";"RE14115";"traite";"BTH_Estrées-Mons_2015_SetB2";"Estrées-Mons";"";"";"2015";"";"118.6";"";"102.4";"";"140";"";"83.3";"";"";"";"11.2";"";"";"";"";"";"7";"";"";"";"";"";"";""
"DI15008";"DI15008";"DI15008";"faible intrant";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"87.7";"";"91.6";"";"144";"";"";"";"79";"";"10.8";"";"3.8";"";"2.2";"";"";"";"1";"";"";"";"";""
"Barok";"32101";"BAROK";"traite";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"86.6";"";"103.8";"";"146";"";"76.1";"";"85";"";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"RE14090";"RE14090";"RE14090";"traite";"BTH_Orgeval_2015_SetB2";"Orgeval";"";"";"2015";"";"82.1";"";"98.4";"";"142";"";"71.2";"";"85";"";"10.7";"";"";"";"";"";"";"";"";"";"";"";"";""
"DI15009";"DI15009";"DI15009";"";"BTH_Rennes_2015_SetB2";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";""
"AO15003";"AO15003";"AO15003";"faible intrant";"BTH_Estrées-Mons_2015_SetB3";"Estrées-Mons";"";"";"2015";"";"100.1";"";"97.6";"";"139";"";"82.9";"";"";"";"11.6";"";"1.5";"";"6.5";"";"5.5";"";"1.5";"";"";"";"";""
"AO15024";"AO15024";"AO15024";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"74.2";"";"93.9";"";"142";"";"73.6";"";"88";"";"10.8";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM14205";"EM14205";"EM14205";"traite";"BTH_Orgeval_2015_SetB3";"Orgeval";"";"";"2015";"";"72.5";"";"91.7";"";"149";"";"76.3";"";"85";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO13100";"AO13100";"AO13100";"traite";"BTH_Clermont-Ferrand_2015_SetA1";"Clermont-Ferrand";"";"";"2015";"";"103.7";"";"";"";"133";"";"81";"";"";"";"9.4";"";"";"";"";"";"";"";"";"";"";"";"";""
"EM11537";"37829";"EM11537";"faible intrant";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"95.3";"";"97.5";"";"145";"";"";"";"90";"";"9.5";"";"3";"";"6.2";"";"";"";"2";"";"";"";"";""
"RE12020";"39333";"RE12020";"traite";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"118.4";"";"93.3";"";"141";"";"";"";"100";"";"13.2";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF09117";"37261";"CF09117";"faible intrant";"BTH_Le_Moulon_2015_SetA1";"Le Moulon";"";"";"2015";"";"91.3";"";"93.5";"";"138";"";"";"";"90";"";"11.1";"";"1";"";"3.5";"";"";"";"2.5";"";"";"";"";""
"RE11058";"37839";"RE11058";"faible intrant";"BTH_Lusignan_2015_SetA1";"Lusignan";"";"";"2015";"";"70.8";"";"105.2";"";"132";"";"80.1";"";"99";"";"9.9";"";"1";"";"1";"";"1";"";"1";"";"";"";"";""
"AO13030";"39286";"AO13030";"traite";"BTH_Lusignan_2015_SetA1";"Lusignan";"";"";"2015";"";"86.7";"";"92.4";"";"130";"";"79.2";"";"82";"";"10.5";"";"";"";"";"";"1";"";"";"";"";"";"";""
"AO11011";"37247";"AO11011";"traite";"BTH_Orgeval_2015_SetA1";"Orgeval";"";"";"2015";"";"78.5";"";"96.1";"";"150";"";"77";"";"78";"";"10.4";"";"";"";"";"";"";"";"";"";"";"";"";""
"APACHE";"13481";"APACHE";"non traite fongicides";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"85.7";"";"91.4";"";"132";"";"79.1";"";"92";"";"12.4";"";"2.5";"";"7.5";"";"1";"";"1";"";"1";"";"38";""
"DI14001";"DI14001";"DI14001";"";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";"";""
"AO13015";"AO13015";"AO13015";"traite";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"117.7";"";"98.7";"";"136";"";"81.5";"";"96";"";"11";"";"";"";"";"";"2";"";"";"";"";"";"50";""
"AO13031";"AO13031";"AO13031";"traite";"BTH_Rennes_2015_SetA1";"Rennes";"";"";"2015";"";"125.9";"";"105.5";"";"133";"";"83.1";"";"101";"";"11.3";"";"";"";"";"";"1";"";"";"";"";"";"43.4";""
"AREZZO";"32759";"AREZZO";"faible intrant";"BTH_Dijon_2015_SetA2";"Dijon";"";"";"2015";"";"81";"";"95.6";"";"132";"";"82.1";"";"83";"";"";"";"6.5";"";"2.5";"";"";"";"1";"";"";"";"";""
"CF13187";"CF13187";"CF13187";"traite";"BTH_Rennes_2015_SetA2";"Rennes";"";"";"2015";"";"111.7";"";"96.4";"";"136";"";"79.7";"";"107";"";"11.2";"";"";"";"";"";"1.5";"";"";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"traite";"BTH_Estrées-Mons_2015_SetB1";"Estrées-Mons";"";"";"2015";"";"126.1";"";"102.2";"";"141";"";"77.9";"";"";"";"10.9";"";"";"";"";"";"4";"";"";"";"";"";"";""
"EM14045";"EM14045";"EM14045";"traite";"BTH_Le_Moulon_2015_SetB1";"Le Moulon";"";"";"2015";"";"120.3";"";"97.3";"";"142";"";"";"";"93";"";"11.3";"";"";"";"";"";"";"";"";"";"";"";"";""
"AO15029";"AO15029";"AO15029";"faible intrant";"BTH_Lusignan_2015_SetB1";"Lusignan";"";"";"2015";"";"81.05";"";"115";"";"132";"";"";"";"92";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";""
"EM14050";"EM14050";"EM14050";"";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"CF14171";"CF14171";"CF14171";"faible intrant";"BTH_Rennes_2015_SetB1";"Rennes";"";"";"2015";"";"84.8";"";"96.4";"";"139";"";"78";"";"96";"";"";"";"1";"";"5";"";"1";"";"1";"";"";"";"";""
"DI15011";"DI15011";"DI15011";"traite";"BTH_Clermont-Ferrand_2015_SetB2";"Clermont-Ferrand";"";"";"2015";"";"89";"";"100.1";"";"135";"";"81.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"RUBISKO";"36680";"RUBISKO";"traite";"BTH_Clermont-Ferrand_2015_SetB2";"Clermont-Ferrand";"";"";"2015";"";"87.2";"";"98";"";"132";"";"81";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CF14312";"CF14312";"CF14312";"faible intrant";"BTH_Le_Moulon_2015_SetB2";"Le Moulon";"";"";"2015";"";"81.6";"";"85.2";"";"134";"";"";"";"86";"";"10.3";"";"1";"";"4.5";"";"";"";"2.2";"";"";"";"";""
